Date,Open,High,Low,Close*,Adj. close**,Volume
2020-08-13,"3,372.95","3,387.24","3,363.35","3,373.43","3,373.43","3,64,88,10,000"
2020-08-12,"3,355.46","3,387.89","3,355.46","3,380.35","3,380.35","3,76,85,60,000"
2020-08-11,"3,370.34","3,381.01","3,326.44","3,333.69","3,333.69","5,08,76,50,000"
2020-08-10,"3,356.04","3,363.29","3,335.44","3,360.47","3,360.47","4,31,85,70,000"
2020-08-07,"3,340.05","3,352.54","3,328.72","3,351.28","3,351.28","4,10,48,60,000"
2020-08-06,"3,323.17","3,351.03","3,318.14","3,349.16","3,349.16","4,26,74,90,000"
2020-08-05,"3,317.37","3,330.77","3,317.37","3,327.77","3,327.77","4,73,22,20,000"
2020-08-04,"3,289.92","3,306.84","3,286.37","3,306.51","3,306.51","4,62,16,70,000"
2020-08-03,"3,288.26","3,302.73","3,284.53","3,294.61","3,294.61","4,64,36,40,000"
2020-07-31,"3,270.45","3,272.17","3,220.26","3,271.12","3,271.12","5,11,72,60,000"
2020-07-30,"3,231.76","3,250.92","3,204.13","3,246.22","3,246.22","4,25,40,10,000"
2020-07-29,"3,227.22","3,264.74","3,227.22","3,258.44","3,258.44","4,67,63,00,000"
2020-07-28,"3,234.27","3,243.72","3,216.17","3,218.44","3,218.44","4,02,78,90,000"
2020-07-27,"3,219.84","3,241.43","3,214.25","3,239.41","3,239.41","3,96,39,10,000"
2020-07-24,"3,218.58","3,227.26","3,200.05","3,215.63","3,215.63","3,89,49,00,000"
2020-07-23,"3,271.64","3,279.99","3,222.66","3,235.66","3,235.66","4,29,04,60,000"
2020-07-22,"3,254.86","3,279.32","3,253.10","3,276.02","3,276.02","4,25,51,90,000"
2020-07-21,"3,268.52","3,277.29","3,247.77","3,257.30","3,257.30","4,54,79,60,000"
2020-07-20,"3,224.29","3,258.61","3,215.16","3,251.84","3,251.84","3,97,12,00,000"
2020-07-17,"3,224.21","3,233.52","3,205.65","3,224.73","3,224.73","3,99,38,30,000"
2020-07-16,"3,208.36","3,220.39","3,198.59","3,215.57","3,215.57","3,96,12,30,000"
2020-07-15,"3,225.98","3,238.28","3,200.76","3,226.56","3,226.56","4,66,97,60,000"
2020-07-14,"3,141.11","3,200.95","3,127.66","3,197.52","3,197.52","4,47,61,70,000"
2020-07-13,"3,205.08","3,235.32","3,149.43","3,155.22","3,155.22","4,89,07,80,000"
2020-07-10,"3,152.47","3,186.82","3,136.22","3,185.04","3,185.04","4,51,53,40,000"
2020-07-09,"3,176.17","3,179.78","3,115.70","3,152.05","3,152.05","4,82,90,20,000"
2020-07-08,"3,153.07","3,171.80","3,136.53","3,169.94","3,169.94","4,92,77,00,000"
2020-07-07,"3,166.44","3,184.15","3,142.93","3,145.32","3,145.32","4,56,37,00,000"
2020-07-06,"3,155.29","3,182.59","3,155.29","3,179.72","3,179.72","4,73,64,50,000"
2020-07-02,"3,143.64","3,165.81","3,124.52","3,130.01","3,130.01","4,19,08,30,000"
2020-07-01,"3,105.92","3,128.44","3,101.17","3,115.86","3,115.86","4,44,31,30,000"
2020-06-30,"3,050.20","3,111.51","3,047.83","3,100.29","3,100.29","4,69,62,80,000"
2020-06-29,"3,018.59","3,053.89","2,999.74","3,053.24","3,053.24","4,46,27,70,000"
