DATE,BOGMBASE,AMBNS
2015-10-01,4060.5000000000000000,4076.198
2015-11-01,4006.7000000000000000,4029.394
2015-12-01,3835.8000000000000000,3869.438
2016-01-01,3792.7000000000000000,3796.011
2016-02-01,3872.5000000000000000,3891.058
2016-03-01,3898.4000000000000000,3910.592
2016-04-01,3872.9000000000000000,3899.466
2016-05-01,3836.5000000000000000,3855.240
2016-06-01,3825.5000000000000000,3841.284
2016-07-01,3772.5000000000000000,3793.399
2016-08-01,3816.7000000000000000,3841.592
2016-09-01,3735.9000000000000000,3750.020
2016-10-01,3572.1000000000000000,3587.953
2016-11-01,3629.8000000000000000,3651.992
2016-12-01,3531.6000000000000000,3558.890
2017-01-01,3595.5000000000000000,3609.684
2017-02-01,3746.4000000000000000,3764.189
2017-03-01,3856.3000000000000000,3871.646
2017-04-01,3821.7000000000000000,3840.333
2017-05-01,3774.4000000000000000,3793.773
2017-06-01,3762.8000000000000000,3792.151
2017-07-01,3795.4000000000000000,3807.811
2017-08-01,3910.0000000000000000,3927.491
2017-09-01,3874.5000000000000000,3885.901
2017-10-01,3829.9000000000000000,3849.992
2017-11-01,3907.7000000000000000,3928.867
2017-12-01,3851.0000000000000000,3877.107
2018-01-01,3824.8000000000000000,3841.419
2018-02-01,3855.1000000000000000,3873.433
2018-03-01,3800.6000000000000000,3817.473
2018-04-01,3727.1000000000000000,3743.678
2018-05-01,3674.8000000000000000,3692.236
2018-06-01,3650.5000000000000000,3671.801
2018-07-01,3618.3000000000000000,3635.381
2018-08-01,3584.5000000000000000,3602.172
2018-09-01,3559.8000000000000000,3572.001
2018-10-01,3520.9000000000000000,3540.181
2018-11-01,3476.3000000000000000,3495.555
2018-12-01,3400.7000000000000000,3420.014
2019-01-01,3346.9000000000000000,3357.108
2019-02-01,3353.5000000000000000,3368.187
2019-03-01,3381.5000000000000000,3396.071
2019-04-01,3286.7000000000000000,3303.084
2019-05-01,3244.5000000000000000,3262.611
2019-06-01,3274.8000000000000000,3290.066
2019-07-01,3260.3000000000000000,3275.550
2019-08-01,3271.4000000000000000,3288.990
2019-09-01,3202.7000000000000000,3210.349
2019-10-01,3252.8000000000000000,3266.162
2019-11-01,3315.6000000000000000,3333.482
2019-12-01,3426.5000000000000000,.
2020-01-01,3442.6000000000000000,.
2020-02-01,3454.5000000000000000,.
2020-03-01,3883.1000000000000000,.
2020-04-01,4844.9000000000000000,.
2020-05-01,5149.4000000000000000,.
2020-06-01,5001.8000000000000000,.
2020-07-01,4700.3000000000000000,.
2020-08-01,4807.4000000000000000,.
2020-09-01,4880.3000000000000000,.
2020-10-01,4917.1000000000000000,.
2020-11-01,5093.0000000000000000,.
2020-12-01,5206.6000000000000000,.
2021-01-01,5248.0000000000000000,.
2021-02-01,5446.9000000000000000,.
